Given1,Given2,Gender,Py1,Py2,IPA1,IPA2,open_syll_p,hi_nuc_p,bk_nuc_p,rd_nuc_p,ons_p,obsr_ons_p,non_cor_ons_p
厚,粲,0,hòu,càn,xow,tsʰan,0.5,0.0,0.5,0.5,1.0,1.0,0.5
念,倩,0,niàn,qiàn,njɛn,tɕʰjɛn,0.0,0.0,0.0,0.0,1.0,0.5,0.0
月,红,0,yuè,hóng,ɥɛ,xuŋ,0.5,0.5,0.5,0.5,0.5,1.0,1.0
新,蓉,0,xīn,róng,ɕin,ʐuŋ,0.0,1.0,0.5,0.5,1.0,1.0,0.0
月,娥,0,yuè,é,ɥɛ,ɤ,1.0,0.0,0.5,0.0,0.0,0,0
世,珍,0,shì,zhēn,ʂʅ,tʂən,0.5,0.0,0.0,0.0,1.0,1.0,0.0
秀,玲,0,xiù,líng,ɕjəw,liŋ,0.5,0.5,0.0,0.0,1.0,0.5,0.0
徒,莺,0,tú,yīng,tʰu,iŋ,0.5,1.0,0.5,0.5,0.5,1.0,0.0
素,彬,0,sù,bīn,su,pin,0.5,1.0,0.5,0.5,1.0,1.0,0.5
晓,白,0,xiǎo,bái,ɕjaw,paj,1.0,0.0,0.0,0.0,1.0,1.0,0.5
玉,倩,0,yù,qiàn,y,tɕʰjɛn,0.5,0.5,0.0,0.5,0.5,1.0,0.0
湘,卿,0,xiāng,qīng,ɕjɑŋ,tɕʰiŋ,0.0,0.5,0.5,0.0,1.0,1.0,0.0
佩,薰,0,pèi,xūn,pʰej,ɕyn,0.5,0.5,0.0,0.5,1.0,1.0,0.5
克,芬,0,kè,fēn,kʰɤ,fən,0.5,0.0,0.5,0.0,1.0,1.0,1.0
幼,芳,0,yòu,fāng,jəw,faŋ,0.5,0.0,0.0,0.0,0.5,1.0,1.0
燕,铭,0,yàn,míng,jɛn,miŋ,0.0,0.5,0.0,0.0,0.5,0.0,1.0
爱,琴,0,ài,qín,aj,tɕʰin,0.5,0.5,0.0,0.0,0.5,1.0,0.0
贻,俊,0,yí,jùn,i,tɕyn,0.5,1.0,0.0,0.5,0.5,1.0,0.0
珏,0,0,jué,0,tɕɥɛ,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
玫,瑗,0,méi,yuàn,mej,ɥan,0.5,0.0,0.0,0.0,0.5,0.0,1.0
培,君,0,péi,jūn,pʰej,tɕyn,0.5,0.5,0.0,0.5,1.0,1.0,0.5
景,清,0,jǐng,qīng,tɕiŋ,tɕʰiŋ,0.0,1.0,0.0,0.0,1.0,1.0,0.0
赛,君,0,sài,jūn,saj,tɕyn,0.5,0.5,0.0,0.5,1.0,1.0,0.0
澄,清,0,chéng,qīng,tʂʰəŋ,tɕʰiŋ,0.0,0.5,0.0,0.0,1.0,1.0,0.0
芷,芬,0,zhǐ,fēn,tʂʅ,fən,0.5,0.0,0.0,0.0,1.0,1.0,0.5
惠,琴,0,huì,qín,xwej,tɕʰin,0.5,0.5,0.0,0.0,1.0,1.0,0.5
映,霞,0,yìng,xiá,iŋ,ɕja,0.5,0.5,0.0,0.0,0.5,1.0,0.0
彩,苓,0,cǎi,líng,tsʰaj,liŋ,0.5,0.5,0.0,0.0,1.0,0.5,0.0
冰,雁,0,bīng,yàn,piŋ,jɛn,0.0,0.5,0.0,0.0,0.5,1.0,1.0
德,风,0,dé,fēng,tɤ,fəŋ,0.5,0.0,0.5,0.0,1.0,1.0,0.5
维,之,0,wéi,zhī,wej,tʂʅ,1.0,0.0,0.0,0.0,0.5,1.0,0.0
冰,玉,0,bīng,yù,piŋ,y,0.5,1.0,0.0,0.5,0.5,1.0,1.0
筱,兰,0,xiǎo,lán,ɕjaw,lan,0.5,0.0,0.0,0.0,1.0,0.5,0.0
小,君,0,xiǎo,jūn,ɕjaw,tɕyn,0.5,0.5,0.0,0.5,1.0,1.0,0.0
小,巧,0,xiǎo,qiǎo,ɕjaw,tɕʰjaw,1.0,0.0,0.0,0.0,1.0,1.0,0.0
为,洁,0,wéi,jié,wej,tɕjɛ,1.0,0.0,0.0,0.0,0.5,1.0,0.0
魁,吾,0,kuí,wú,kʰwej,u,1.0,0.5,0.5,0.5,0.5,1.0,1.0
纯,0,0,chún,0,tʂʰwən,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
树,榛,0,shù,zhēn,ʂu,tʂən,0.5,0.5,0.5,0.5,1.0,1.0,0.0
静,和,0,jìng,hé,tɕiŋ,xɤ,0.5,0.5,0.5,0.0,1.0,1.0,0.5
兴,达,0,xīng,dá,ɕiŋ,ta,0.5,0.5,0.0,0.0,1.0,1.0,0.0
增,珏,0,zēng,jué,tsəŋ,tɕɥɛ,0.5,0.0,0.0,0.0,1.0,1.0,0.0
蓓,蕾,0,bèi,lěi,pej,lej,1.0,0.0,0.0,0.0,1.0,0.5,0.5
喜,奎,0,xǐ,kuí,ɕi,kʰwej,1.0,0.5,0.0,0.0,1.0,1.0,0.5
